0;RT @CommuterBoston: ACCIDENT (Wellesley, MA): RT-9 East near Cedar St - involving a motorcycle and a car - possible lane restrictions;YES
1;RT @CommuterBoston: ACCIDENT: I-290 East before I-495 (Exit #26) - 2-car accident with possible lane blockages;YES
35;@remixeitak Hello! Can you tell us the car # of this Red Line so we can have this checked?;NO;
36;Happy Thursday! Here''s a service tip for you: Be sure to wash your car regularly & apply protective wax to protect the exterior of the car.;NO;
37;I saw a dead stinky skunk in front of my job this morning. The other day, it was a dead Monarch butterfly. If... http://t.co/6Jo1BvhU4Y;NO;
38;@jmingolelli13 yeah i got into a car accident last night at like the end of your street on forest;YES
39;So far this week I''ve come across two female police officers who couldn''t direct traffic. The feminist in me is sad.;NO;
40;Highway led signs today: Secure vehicle cargo or face fines. Guessing that''s related to the ax that wound up in a windshield yesterday.;NO;
41;Was just forced to carry my own gas tanks to my car at Home Depot at 9 am when the store was dead. @HomeDepot #customerservicefail;NO;
42;Finally realising that my new car may get dirty, certainly with the boyf smudging white chocolate in my seat cover..what a babe.;NO;
43;RT @BostonDotCom: Two Injured as Overturned Cement Truck Closes Road in Walpole: http://t.co/TLaHoUy7Sq http://t.co/hF2ryNfd2s;YES
44;Break Free by Ariana Grande is a straight fire jam. Unavoidably awesome.;NO;
45;Can Michael get off the car please he''s gonna dent the car and he''s wearing boots and it''s not a flat surface he probably fell Michael babe;NO;
46;@jvandersande Kill Haystack. Kill it with fire.;NO;
47;Can Luke also not play golf on the station wagon he''s gonna damage it or hurt someone that car was a very bad idea LUKE no;NO;
48;RT @BostonDotCom: Old World Meets New After Amish Buggy, Car Crash in Maine: http://t.co/ohLjefWofc http://t.co/hV9Jvl3REQ;YES
49;@absurtitties the perfect cover after trying to burn down work;NO;
50;Security forces in #Yemen break up demonstrations against a rise in fuel prices, killing one woman. http://t.co/lm2JGfcO2A;NO;
51;Police: 4 dead, 2 injured in California shooting - San Francisco Chronicle;YES
52;~ The Burst Collection Cam Cover ~# 25700249(617)389-8888 http://t.co/gZdIU67hVg;NO;
53;@GraigMurphy reported that @KaynaWhitworth reported that @KenRosenthaI reported that @WEEI reported that @Toucherandrich reported....;NO;
54;Back on the road see more tractors on the road than cars and vast fields of crops against the mountains I love this place <3;NO;
55;#Boston #News Cyclist dies in car crash in West Barnstable: A bicyclist has died after being hit by a car in W... http://t.co/q5YG0GcSeM;YES
56;RT @mikeob59: @GraigMurphy reported that @KaynaWhitworth reported that @KenRosenthaI reported that @WEEI reported that @Toucherandrich repo…;NO;
57;# Renault i Fiat wspólnie zbudują lekkie auto dostawcze. Premiera w 2016 roku http://t.co/grrroq3lNM;NO;
58;You ever try break up with someone thru a Song by just singing it 😂😂😂😂😂😂😂😂 making the break up lyric all loud 😭;NO;
59;How can you not smell yourself? I don''t get it. If my eyes are burning from the stench I feel like you have to have some clue that you reek;NO;
60;@Kmdk86 Super pro tip: if you look at the gas gauge in any car there''s a little arrow that indicates which side of the car the gas cap is on;NO;
61;Ich werde vermissen: das Meer, den Wind, die Sonnenunter- & -aufgänge, den Strand.. aber vor allem die Zeit mit meinen Besten & den Kids..;NO;
62;A German cover of Hit the Road Jack.;NO;
63;Opening a little late today, 11:30-2:00pm. Hopefully the car owner learns the lesson of not taking food truck spots.;NO;
64;My question is how someone let''s their car get like this😷 I need my clean car back 😭 http://t.co/0W0wQutbes;NO;
65;[Album Review] DJ Blaze - Blazing Cuts (July 2014) http://t.co/R6hNnCfgMl #OluwaCurtisTweet;NO;
66;@alexdfox Step 1) I wait until you buy a car. Years if I have to. Step 2) I put that sticker on your car. Step 3) I win Life.;NO;
67;RT @ohhdani: Just hit 420 miles on my car haha lol blaze it;NO;
68;#Boston #News Old World Meets New After Amish Buggy, Car Crash in Maine: No one was injured in the Wednesday m... http://t.co/LuPwURuwu8;YES
69;No, that is Earth & Fire, not Earth, Wind & Fire, people. Earth & Fire is a rare German progressive rock band. Get your sample game up.;NO;
70;RT @leosjustkidding: Back on the road see more tractors on the road than cars and vast fields of crops against the mountains I love this pl…;NO;
71;Helped nearby drivers by reporting a moderate traffic jam on Pilgrims Hwy, Norwell on @waze - Drive Social. http://t.co/8t4voellbh;NO;
72;OH: Man in car yelling fuck you at guys loading a moving truck, even though he''s totally blocked and will have to awkwardly sit there;NO;
73;A @DunkinDonuts orange coolatta isn''t junk food because it''s simply @Tropicana OJ and ice. Day 8 junk food-free. #usmc;NO;
74;Authorities Identify 29-Year-Old Man Found Shot Dead in Newark Car http://t.co/G80nfBgaxN;YES
75;52% of kids who died from vehicular heatstroke were forgotten in the vehicle.;NO;
76;Someone stole my pops car battery and switched it with a dead Honda battery while he was sleep.. them niggas is nice 😂😂;NO;
77;@Paulmathewson @jisaacraymond He''s the definition of a one-trick pony. He can do some damage as a pinch hitter in the right spots, though.;NO;
78;RT @CarWashBelmont: Help us reach the top of the @TheBostonAList. Vote for Belmont Car Wash & Auto Detailing. #EveryVoteCounts #VoteLocal;NO;
79;Brockton man died in motorcyle accident on Oak Street http://t.co/r8rTVLfB6Y #BrocktonNews;YES
80;Police describe black suspect as ''Negro'' in report http://t.co/52CcQC2V1G via @USATODAY ...its 2014 right?;NO;
81;#Boston #News Mass. State Police Seize 182 Bags of Heroin from Vermont Man: Massachusetts State Police seized ... http://t.co/pspza6ty6x;YES
82;Enter the @ChoiceHotels Summer Road Trip Sweepstakes! Grand Prize: $750 hotel gift card, rental car, $500 + more! RT! http://t.co/1u23ciwlPD;NO;
83;Report: Facebook Drives Nearly One-Fourth Of All Referral Traffic http://t.co/RRdI8kGGC7 via @shareaholic http://t.co/0bBUvC65uD;NO;
84;@Cailean_Mac The Pan-American Highway stretches from Alaska to Tierra del Fuego. The only break in that long stretch of road is in Darién;NO;
85;ROAD TRIP! The BuyerZone team is hitting the road this August. Connect with us if you''ll be in #NYC August 11-15: http://t.co/XCjaXvZfPI;NO;
86;ROAD TRIP! The BuyerZone team is hitting the road this August. Connect with us if you''ll be in #NYC August 11-15: http://t.co/J4YIA2F5Lt;NO;
87;ROAD TRIP! The BuyerZone team is hitting the road this August. Connect with us if you''ll be in #NYC August 11-15: http://t.co/UA6xncxdbV;NO;
88;ROAD TRIP! The BuyerZone team is hitting the road this August. Connect with us if you''ll be in #NYC August 11-15: http://t.co/ByNWf8xkjm;NO;
89;ROAD TRIP! The BuyerZone team is hitting the road this August. Connect with us if you''ll be in #NYC August 11-15: http://t.co/04e8CrfIo3;NO;
90;Auto Damage Appraisal with @minutemancommed - register today! http://t.co/2h4ShSLPY3 #AutoDamage;NO;
91;Car wash with Malik 💦 gotta prepare for the weekend! 🚗🎈🎊🎉 malik2k11 @ Waves Car Wash http://t.co/PK912dMpbd;NO;
92;Dam anytime I''m on the highway there''s Always traffic don''t matter the time like nobodies at work wtf… http://t.co/TFg3QPv8V6;NO;
93;Bang bang''s such a fire jam but Lilly''s gonna force the repeat button so hard;NO;
94;Hi Everyone. I don''t message people from @Facebook. If you received a message from me it''s fake. Please report it. I''ve also reported. X;NO;
95;RT @RockFightFilms: @LauraVanVleet he recovers his memory in an accident with a watermelon truck @medoproductions @itshawnthompson @mixtape…;YES
96;South Africa''s Storrow Prob MT @mashable: giraffe died after hitting head on a highway bridge  http://t.co/jXx3SnHt6F http://t.co/BC2N15ENFM;YES
97;#Boston #News Braintree Police Want Info on This Stylish Bank Robbery Suspect: Braintree Police are searching ... http://t.co/gWl9O3QeHy;NO;
98;#Boston #News Old World Meets New After Amish Buggy, Car Crash in Maine: No one was injured in the Wednesday m... http://t.co/fj3WIX6n14;YES
99;Coming soon?  Audi tests its A7 driverless vehicle on Florida highway http://t.co/yMAoJKadJ8;NO;
100;If you don''t have a license plate on the front of your car because it''s a lil smashed, will your car pass inspection? asking for a friend...;NO;
101;Your fridge is not complete without a few boxes of Fuel For Fire... #PouchesForDays #TripleBerry… http://t.co/VcepwKU3as;NO;
102;Road User Fees May Replace Gas Taxes in Washington and Oregon http://t.co/VoD33kJbH7;NO;
103;Burn fat, not oils this lunch break http://t.co/zHGz0HM3sR;NO;
104;Clean out your trunk! Did you know: The EPA estimates that for every extra 100 pounds your car carries, it loses 2% in fuel economy.;NO;
105;# Polski Car Mechanic Simulator hitem na Androidzie - Gracze z całego świata najwyraźniej uwielbiaj... http://t.co/I2De7m3Qs6;NO;
106;RT @onekade: Killed Tamerlan. Tried to kill Jahar, even tho he was unarmed and hiding in a boat. Killed Todashev. Deported every person who…;NO;
107;New blog post from Alicia Munnell:  Do police and firefighters die young?  http://t.co/L8WIpgBm6T via @MarketWatch;NO;
108;Opened report via Android at 38 Guest St Boston http://t.co/IhtFEr6ygs. Delivery truck sticking out of the loading dock of 20 guest st bl...;NO;
109;In 4-8 business days I will be an adult with pillow shams and a duvet cover. With boat anchors on them.;NO;
110;#Boston #News Braintree Police Want Info on This Stylish Bank Robbery Suspect: Braintree Police are searching ... http://t.co/IYtr4J4ZOF;NO;
111;I''m so disappointed by the 2 police departments I''ve reported animals locked in hot cars to in the last 24 hrs;YES
112;#Boston #News Cops: 1 dead, 1 critical after high-rise shooting: Chicago police say one man is dead and anothe... http://t.co/aOsKtUViNK;YES
113;Electric car batteries pass latest crash tests - http://t.co/NmbG3RbBAD;NO;
114;Michael Jackson died at 58. Whitney Houston died at 48. JFK at 38. Amy Winehouse at 28. How old is @justinbieber ? 18 right?;NO;
115;RT @Spec1414: Your fridge is not complete without a few boxes of Fuel For Fire... #PouchesForDays #TripleBerry… http://t.co/VcepwKU3as;NO;
116;RT @Fox25Sports: Report: Red Sox close to deal with Cardinals for John Lackey, fire sale continues.;NO;
117;Report: Cespedes seen boarding boat for Cuba. Quoted as saying screw you guys, I''m going home. #RedSox;NO;
118;RT @RetirementRsrch: New blog post from Alicia Munnell:  Do police and firefighters die young?  http://t.co/L8WIpgBm6T via @MarketWatch;NO;
119;you''ve got writer''s block I''ve got ramen block there is only ramen, can''t think any thoughts that are not ramen. All is ramen with the world;NO;
120;RT @ChildrensSafety: 52% of kids who died from vehicular heatstroke were “forgotten” in the vehicle. #heatstrokekills #checkforbaby http://…;NO;
121;2B gallons of oil & gas waste injected daily into wells GAO report says more could be done to protect water supplies http://t.co/OlIqOtL1pV;NO;
122;Report: Red Sox close to deal with Cardinals for John Lackey, fire sale continues.;NO;
123;--Boston Assistant Manager -- Auto & Truck Repair     (Boston) http://t.co/QkRq0DO2Xv;NO;
124;--Boston Assistant Manager -- Auto & Truck Repair     (Boston) http://t.co/sDSyxkyjOP;NO;
125;#Boston #Jobs Assistant Manager -- Auto & Truck Repair     (Boston): Auto & Truck Service Center in Boston. B... http://t.co/rUwqrkKSV3;NO;
126;@jfvanderheiden hysterical join us for the jam cruise around the bean tomorrow w the playin dead - no sharknado warnings in the forecast;NO;
127;RT @TitleTownTalk_: Report: Red Sox close to deal with Cardinals for John Lackey, fire sale continues.;NO;
128;The @RedSox are having a fire sale. I expect a fire sale to follow on tix for remaining games @ Fenway. Stubhub,here I come.;NO;
129;“@Lonely_Dad: I hope I die in a car crash on the way home from work” hahaha u @mydad;NO;
130;Lackey to the Cardinals. Wow, this is the fire sale of fire sales.;NO;
131;What you can do on your lunch break in Harvard Square: see dead fish at the Dead Animal Museum… http://t.co/918gSFzeZG;NO;
132;Opened report via Android at 115-117 Essex St Boston http://t.co/70uiOg2C5K. Chinatown park water break out of tree waste of water.;NO;
133;FIRE SALE FIRE SALE;NO;
134;RT @SmugJohnFarrell: Report: Cespedes seen boarding boat for Cuba. Quoted as saying screw you guys, I''m going home. #RedSox;NO;
135;By optimizing their truck routes,@UPS saves over 1.5B gallons of fuel & 14000 metric tons of #CO2 http://t.co/FD4HhOnkBX #BehaviorChange;NO;
136;@cornboy72 Unfortunate part of summer in New England. There''s a limited window to do road repairs & our winters do lots of damage #patience;NO;
137;#Extravagance Russe had me wanting more! #DianaVreeland2014Fall #Fragrance #Training #Scent #Luxury;NO;
138;Fraud Alert from Waltham Police - Police & Fire - Waltham, Massachusetts | Patch http://t.co/ZLodDw0z2T;YES
139;Gonna treat myself to a nice captain and coke for this lunch break because I feel like I deserve it;NO;
140;@ThePlumLineGS Jesus, dude! Calm the f*ck down. Grab a bite, take a break, relax. Watching a Twitter breakdown isnt as fun as I wouldve thot;NO;
141;We should ban any car that has a 0-60 time greater than 7 seconds from highway on-ramps. You''re going to get us both killed.;NO;
142;Who needs a mixtape cover ?Who needs a single cover ?Who needs a logo ? Who needs a banner ? Who needs artwork ? #GFX + #GPX;NO;
143;RT @WheelTod: Last night I watched a movie about a guy encased in plaster after an auto crash. The plot was kind of boring but the cast was…;NO;
144;Life''s in a traffic jam.;NO;
145;RT @KenzyXL: Who needs a mixtape cover ?Who needs a single cover ?Who needs a logo ? Who needs a banner ? Who needs artwork ? #GFX + …;NO;
146;RT @FuguTruck: Opening a little late today, 11:30-2:00pm. Hopefully the car owner learns the lesson of not taking food truck spots.;NO;
147;@TimBritton @Brandon5tewart I now want a Buchholz # shirt with either Greyjoy or Reek as the name on it instead.;NO;
148;@RatedRi87 😂😂😂😂....are you tryna kill me? I just choked on my water reading this!!! Im dead just stop she ain''t ready.;NO;
149;Mass. State Police Seize 182 Bags of Heroin from Vermont Man: Massachusetts State Police seized 182 bags of he... http://t.co/9LGnOcr3Rh;NO;
150;Spitz testified previously that her blood alcohol at the time of her car crash, which was... http://t.co/iHnApp5Wqq via @ScribbleLive.2_x000D_RT @JPManning14: It was too easy to die for what was good or beautiful this world needed a God to die for the half-hearted and the corrupt….2_x000D_Opened report via iPhone at 346 Athens St http://t.co/1Ttyl4jl4W. Natural gas smell coming from building..2_x000D_RT @OfficialTedSays: I hate teachers who give homework over break like do u not understand what a break is do u want me to demonstrate on u….2_x000D_RT @Kimjones0800: Mass. State Police Seize 182 Bags of Heroin from Vermont Man: Massachusetts State Police seized 182 bags of he... http://….2_x000D_@mirell_ebooks Also I feel some sort of a minor road block...2_x000D_LICENSED AUTO DAMAGE APPRAISER (BOSTON) http://t.co/aAJr60QSpV.2_x000D_One scene, still-frame shopping montage.  Cutesy music.  Next scene, public crucifixions..2_x000D_if you''re going to smoke something, you might as well smoke weed.. - my mom;YES
151;@_FreeMarketeer Bad enough we''ve got crazies trying kill off the human race - now the want to kill off animals, as well? #TinaFeyEyeRoll;NO;
152;#Boston #Job Auto Body Technician  (Marlboro): Ready to hire. Looking for Auto Body technician start-to-finish... http://t.co/ndBewWxOau;NO;
153;Brazil''s Petrobras halts production at offshore rig after fire, spill http://t.co/oayYEeA8fI;YES
154;Brazil''s Petrobras halts production at offshore rig after fire, spill http://t.co/wLzSaDDEIu;YES
155;#Boston #News Braintree Police Want Info on This Stylish Bank Robbery Suspect: Braintree Police are searching ... http://t.co/FKdkhQn7m0;YES
156;@Emmalorden @kickyourAsh143 EMMA SHE EGGED MY CAR AND IT WAS HER IDEA???? Sorry but if someone egged your car you would be pissed sorry;NO;
157;Ug RT @GarrettQuinn: Lackey to the Cardinals. Wow, this is the fire sale of fire sales.;NO;
158;RT @SocialInBoston: Student killed in Cape Cod bicycle crash: A bicyclist who was struck by a car late Wednesday night in Hyannis ... http:…;YES
159;# Gravity Crash Ultra Vita release date, price announced - Retro style arcade shooter Gravity Crash Ultra launche... http://t.co/rVnltlsrsC;NO;
160;Anyone know what happened around Porter Square? Fire, EMS and police everywhere. @Universalhub;YES
161;I SAW A MINI CHOW CHOW AND ALMOST GOT IN A CAR ACCIDENT 🐶🐻✨💁;NO;
162;@Iliteratepoet Be careful car shopping. Car salesmen are artists too. I sold used cars for three years.  #ConArtist;NO;
163;Yemen saw fuel prices double Weds. after govnt ends its fuel subsidy program: http://t.co/lBkraQ4vYn;NO;
164;Bryan Stevenson at CLC: Death penalty not a question of who deserves to die, but whether we deserve to kill. Yes. http://t.co/sahGzgkzSJ;NO;
165;Nobody dead knew they would die before they woke.. It probably started off a beautiful day with weed smoke;NO;
166;RT @daniel_backman: Bryan Stevenson at CLC: Death penalty not a question of who deserves to die, but whether we deserve to kill. Yes. http:…;NO;
167;Chevy Malibu 1963. Looks like a car off of Grand Theft Auto. #chevymalibu #vintage #vintagechevy #LA #Boston #gta http://t.co/smO7zoxbSB;NO;
168;Police investigate incident that involved officer firing his gun in Dorchester overnight http://t.co/8NYTm7jj6b @stacos;YES
169;Accident cleared Rt 3 SB, traffic still jammed from Split to Rt 228! More #MATraffic updates here http://t.co/KGnvPfhdXQ;YES
170;#Boston #News Mass. State Police Seize 182 Bags of Heroin from Vermont Man: Massachusetts State Police seized ... http://t.co/lpvmLg0PD0;NO;
171;#Boston #News Exchange Student Killed in Hyannis Bike Accident: Barnstable police report that a Kazakhstani ex... http://t.co/JVAil5ecCc;YES
172;This my jam, this my jam, this my jam, this my jamI''m ''bout that jam, I''m ''bout that jam, I''m ''bout that jam, I''m ''bout that jam;NO;
173;Seven dead after 3-alarm fire consumes Massachusetts apartment building - New York Daily News;YES
174;ESPN analyst falsely reported not 1, but 2 MLB trades today. Then tried to cover his tracks (didn''t work...) http://t.co/E3MlXI0u8h;NO;
175;Hub| Police investigate incident that involved officer firing his gun: Happened sometime after 1 a.m. on Sedal... http://t.co/J8wr1vusa7;YES
176;A Kazakhstani exchange student has died after being hit by a car in Cape Cod http://t.co/fTuBmix6qC;YES
177;RT @BostonDotCom: A Kazakhstani exchange student has died after being hit by a car in Cape Cod http://t.co/fTuBmix6qC;YES
178;Police investigate incident that involved officer firing his gun (Dorchester) http://t.co/LzxyqiweYv;YES
179;RT @YourDorchester: Police investigate incident that involved officer firing his gun (Dorchester) http://t.co/LzxyqiweYv;YES
180;Car service to Boston. Boston airport car service, boston airport to all cities in Mass. All Boston Car service companies pick up from Logan;NO;
181;@cliffordmypizza today I found my name on the coke bottles and I''m like, I''m surprised they don''t have share a coke with bae 😂;NO;
182;Peony Bud and Dusty Miller Wedding Bouquet - Ready to Ship Wedding Bouquet by KateSaidYes: 60.00 USDThis ivory... http://t.co/awPyFWJmr1;NO;
183;In my mind were somewhere in my carYou got your lips on mineIt''s gasoline on fire;NO;
184;@Jeets_42 @SPD_HQ Forwarded to district Highway. Thank you for the report.;NO;
185;Congress races to finish veterans, highway bills before break: Rushing toward the exits, Congress on Thursday... http://t.co/THgIEoZV7J;NO;
186;#BREAKING: @WMUR9 reports car into Friendly''s in #Manchester.  #Sky5 heading to scene.;NO;
187;RT @WCVB: #BREAKING: @WMUR9 reports car into Friendly''s in #Manchester.  #Sky5 heading to scene.;NO;
188;He was my kill hat in bootcamp. If you don''t know what a kill hat is, think of the meanest person youve ever met x100 http://t.co/nXAbGMjGxr;NO;
189;What a day,walking by #Fenway ..OH No..FIRE...FIRE ON #YawkeyWay call the fire..no sorry, that''s just the #RedSox dumping their team! #MLB;NO;
190;@danielrmay I went from a Galaxy Nexus to a N4 because the gNex died at a music fest. I hate that my nexuses die in the wrong month.;NO;
191;RT @Ftheredsox: What a day,walking by #Fenway ..OH No..FIRE...FIRE ON #YawkeyWay call the fire..no sorry, that''s just the #RedSox dumping t…;NO;
192;INDIE SCENE RADIO artists 3 Parts Dead Show Update! #320KTonight at Obriens with perhaps some specials guest!... http://t.co/6DyBaHmSRS;NO;
193;There is no need for traffic or for people to be at a stop on a highway.. The speed limit is 60 move your fucking car;NO;
194;@SISTERINDICA @Sia Fire meet gasoline.;YES
195;2nd car in 2 minutes... Wonder why she freaks out when I put her in a car seat #startherup… http://t.co/isrduA1LGP;NO;
196;Saw a beaver on the way back from lunch 😁. It was laying dead on the road... 😞;NO;
197;RT @GKMTNtwits: Don''t you just love that traffic jam at I-90 and SR18? Costs our economy #WA8 #FlipADistrict #PDMFNB http://t.co/bdctP5ixtk;NO;
198;Personal Injury Attorney | #DogBite Lawyer | Boston Injury Lawyer http://t.co/vPpELxfREj;NO;
199;When your car hits a bump in the road right when the bass drops @Bntyhunter7  😎😎😎😎😎😎😎😎😎;NO;
200;@jcoglan I wouldn''t. But the phone company does let me report harassment. It''s one on one. And police take it more seriously.;NO;
201;when we die, we die together https://t.co/Uu6Cm59huG @DerekChristoff;NO;
202;RT @bri_babyx3: There is no need for traffic or for people to be at a stop on a highway.. The speed limit is 60 move your fucking car;NO;
203;#Boston #News Mass. State Police Seize 182 Bags of Heroin from Vermont Man: Massachusetts State Police seized ... http://t.co/MzTj3B7hRc;NO;
204;No account #. Just the order #;NO;
205;I''ll bet Mike Carp blocked a trade by saying he''ll refuse to report.;NO;
206;@FNpanch I kinda still wanna eat my jam doe...does jam go with flapjax?;NO;
207;@_RickyMinaj dead dead dead dead 💀💀💀💀💀;NO;
208;I wish I had a car to sit in traffic and know there is nothing more I can be doing at that moment than sitting in traffic.;NO;
209;Gas prices plummet in July. Aren''t they supposed to rise in summer?: Gas prices usually rise in the summer mon... http://t.co/Ta11lJNGFB;NO;
210;Same IP from the House of Representatives that''s blocked on the English Wikipedia is now blocked on the Russian one. http://t.co/FUNqNjTMo5;NO;
211;RT @johndburger: Same IP from the House of Representatives that''s blocked on the English Wikipedia is now blocked on the Russian one. http:…;NO;
212;Congress races to finish veterans, highway bills before break http://t.co/ou7cbM7snr #BrocktonNews http://t.co/fBkxE444Hd;NO;
213;Imma smoke this weed,Then imma break you off....;NO;
214;Red Sox had the fire sale of all fire sales today and I couldn''t be happier #isit2015yet?;NO;
215;LA POLICE Punch Special Needs Women Police Brutality: http://t.co/HWoDnmNyYc via @YouTube @WWE @WWEUNIVERSE @MTV @POLICE @ABC @CBS;NO;
216;When you’re driving and Nicki Minaj is on all 3 radio stations at the exact same time, there’s nothing left to do except crash your car.;NO;
217;As I''m walking to my car this fool gonna go u gonna get a ticket me being all scary and worried about my car go why??;NO;
218;“@WCVB: #BREAKING: @WMUR9 reports car into Friendly''s in #Manchester.  #Sky5 heading to scene.” Too Friendly car, too friendly;NO;
219;@_carodonnelly our car is broken down on the side of the highway;YES
220;CAMBRIDGE PUBLIC SAFETY  CAM-FD ALM 1:ELECTRICAL ODOR:29 OTIS ST (16:35);NO;
221;#Boston #News Car crashes into Friendly''s in Manchester, NH: Thursday afternoon a car crashed into a Friendly’... http://t.co/ca5wpIVAbZ;YES
222;Serial gas explosions in Kaohsiang, Taiwan few hrs ago, making it sound like a war zone. 15 dead 243 injured https://t.co/yQpUb4QS5a;YES
223;@ringinvestor Was man übrigens auch sieht, wenn man sich mal an die Strecke stellt... Die fahren quer beet unter aller Sau.;NO;
224;@mashable: A giraffe died after hitting its head on a highway bridge :-( http://t.co/ozVmyFt0QB http://t.co/rpwSO3JJ8kHangover 3 again;YES
225;Quick run to CHeesecake Factory for one more cheesecake after work, given how awful Thursday traffic, it would be tempting to eat it in car.;NO;
226;@ringinvestor mir geht dieses gemeckere von wegen die bösen großen gegen die armen kleinen einfach gehörig auf den Senkel.;NO;
227;3/ I’d much rather be in the “oft-stolen” Boston tech scene as a founder than the Tulsa tech scene, for example. Right?;NO;
228;@wolfking20ten @GLCRMI when you die in the game that is what happens. and not story die, just regular die if you know what i mean;NO;
229;Just hearing now that Drew was traded, almost pulled car over in traffic and jumped with joy into Charles River, naked.;NO;
230;Dead Island 2 (HD Trailer): http://t.co/UlzsCQtNpA go like my video! It''s a trailer of dead island 2!;NO;
231;#Boston #News Mass. State Police Seize 182 Bags of Heroin from Vermont Man: Massachusetts State Police seized ... http://t.co/DWmGApsZbP;YES
232;Inbound delays running 8-12 mins due to heavy traffic. Outbound shuttles delayed about 5 mins by Kendall area traffic.;NO;
233;ICYMI: Hatchet falls off truck,  hits car http://t.co/ww6nxsl0xo;YES
234;Fire Department responding to a Motor Vehicle Crash at Cambridge Street  at Wayside Road.;YES
235;Oh sweet. Dude bros who were complaining someone told them to be quiet in the quiet car last time are in the quiet car again. Being loud.;NO;
